fullVec,autoVec,serial,explicitVec,benchmark
0.0419148737092395,0.0004123158935014,6.876506902718476e-05,0.0417305129392487,axpy
0.2063044026083905,0.0216248145091246,0.0215218595807513,0.2064245888787438,blackscholes
0.0445261208768212,0.0007806669988105,0.0007474555883032,0.0441156566090068,canneal
0.2516287010532574,7.427156076759966e-06,3.839408624984466e-06,0.2512974532850991,jacobi2d
0.2184316405904565,0.0244512766434027,0.0244501944090442,0.2182599711843644,lavaMD
0.2022475097248716,0.0001980827688129,0.0001231932294499,0.2021211506333092,particlefilter
0.3810860424559648,5.964422647594694e-06,6.053409863458898e-06,0.3390005229407964,pathfinder
0.0365261449107793,2.658539941443338e-06,2.203574321762881e-06,0.0362808014235831,somier
0.0441575335507374,0.0115185247149727,4.587632115267692e-05,0.0457355568384377,streamcluster
0.0862950179815638,0.0042308951044723,0.0031666997534543,0.0862371487360771,swaptions
