benchmark,autoVec,explicitVec,fullVec
axpy,1.0,1.0092850510677809,1.0
blackscholes,2.5391022674687647,181964.28366496993,181964.27764923646
canneal,1.0,245392.58220068552,245392.9752984281
jacobi2d,1.0,1.007332722273144,0.9981668194317141
lavaMD,1.0,27726.448115402512,27726.448115402512
particlefilter,1.0000002871352358,2.646546574268462,2.646546287133226
pathfinder,1.0,0.9980009349694103,0.9980009349694103
somier,0.9981701738334858,0.9963403476669718,0.9963403476669718
streamcluster,0.9999999538777086,1.0000001383668742,1.000038212318434
swaptions,1.0000000028083187,1.57205962651567,1.57206625615403
