benchmark,autoVec,explicitVec,fullVec
axpy,70864100.0000,46042900.0000,32415300.0000
blackscholes,236046723000.0000,335238535300.0000,335272522200.0000
canneal,3413489200.0000,5878874900.0000,4935651100.0000
jacobi2d,212011800.0000,179325900.0000,157641400.0000
lavaMD,2.4451,21.8260,21.8432
particlefilter,0.0198,20.2121,20.2248
pathfinder,1803569500.0000,2171357900.0000,0.0086
somier,220748300.0000,53963600.0000,55616900.0000
streamcluster,571717748100.0000,928070400.0000,1486909400.0000
swaptions,81390508800.0000,2361127755700.0000,2361730911500.0000
