Iteration,autoVec,explicitVec,fullVec,serial
1,1.2748091603053435,0.9586776859504132,1.1983471074380165,1.2173913043478262
2,1.7404580152671756,0.9669421487603307,1.2231404958677685,1.7901234567901232
3,1.2213740458015268,0.9834710743801652,1.1983471074380165,1.3395061728395061
4,1.2061068702290076,0.9752066115702479,1.1983471074380165,1.3291925465838508
5,1.3358778625954197,1.1074380165289257,1.2644628099173554,1.6770186335403727
6,1.2290076335877862,0.9669421487603307,1.2231404958677685,1.2173913043478262
7,1.213740458015267,0.9834710743801652,1.2249999999999999,1.2173913043478262
8,1.213740458015267,0.9669421487603307,1.2066115702479339,1.2222222222222223
9,1.198473282442748,0.9752066115702479,1.2066115702479339,1.2236024844720497
10,1.2290076335877862,0.9669421487603307,1.1983471074380165,1.2422360248447206
MEAN,1.2824427480916032,0.9834710743801652,1.2148760330578512,1.3540372670807452
