Iteration,autoVec,explicitVec,fullVec,serial
1,25.546325213408288,4.031039834454216,4.122715404699739,24.68836370919287
2,25.55949156074182,4.173633440514469,4.261737722611981,24.902597402597404
3,25.456761825380287,4.170862346009641,4.263498920086393,24.857924604783136
4,25.11880781089414,4.202999464381361,4.29535637149028,24.89870077141697
5,25.428393005828475,4.027418520434558,4.2601187263896385,24.549239391513208
6,25.227225992185893,4.170862346009641,4.126436781609195,24.88167241729247
7,25.43683662851197,4.168094218415417,4.262277388019428,24.59847573204974
8,25.441341946238797,4.169791108730584,4.2985961123110155,24.874062056378015
9,25.229282336006577,4.058428128231644,4.2628170534268754,24.88146945402882
10,25.484052532833022,4.1686295503211985,4.261198057204533,24.894256139638728
MEAN,25.39045643153527,4.133015368309486,4.240750670241287,24.79951495553759
