benchmark,autoVec,explicitVec,fullVec,serial
axpy,1723.200000,1739.200000,1723.200000,1723.200000
blackscholes,1728.800000,419461366.400000,419461344.800000,1728.800000
canneal,6765.600000,996614998.400000,996612335.200000,6768.800000
jacobi2d,1745.600000,1758.400000,1742.400000,1742.400000
lavaMD,1716.000000,47669967.200000,47669967.200000,1716.000000
particlefilter,11147177.600000,35526604.000000,35526612.800000,11147177.600000
pathfinder,2007338.400000,21999325.600000,21999325.600000,2007335.200000
somier,1745.600000,1739.200000,1739.200000,1745.600000
streamcluster,69386079.200000,69386086.400000,69386070.400000,69386073.600000
swaptions,1994169504.800000,5274178312.000000,5274178284.000000,1994169644.000000
