Iteration,serial,explicitVec,autoVec,fullVec
0,2.07362699927374e-05,0.003947634524309,0.0241816811924438,0.0040953390158794
1,2.313925517104283e-05,0.0039552040786651,0.0243787766124658,0.0041208028522406
2,2.170287656555951e-05,0.0039473942264622,0.024510230882017,0.0040907188321321
3,2.2955124952871363e-05,0.0039617654116818,0.0244020282319176,0.0041105602646766
4,2.2721773631739523e-05,0.0039420469995867,0.0242965624694871,0.0040930628247983
5,2.062025729136218e-05,0.003945474991486,0.0242529475147198,0.0041021522839014
6,2.200721342917716e-05,0.0039478692993298,0.024377168973231,0.0040838304002497
7,2.1920555473718705e-05,0.003948365713555,0.0243929631821218,0.004094183303887
8,2.5224366720302164e-05,0.0039566561521708,0.0243797630028582,0.0041052547081664
9,2.4115734090626213e-05,0.0039639917348772,0.0242267946208007,0.0041123021227101
