Iteration,autoVec,explicitVec,serial,fullVec
0,0.0001857896813425,0.0404012745061107,0.0001197805519272,0.0449067674212209
1,0.0001875245273387,0.0403968894634477,0.0001197418573967,0.0449008458125257
2,0.0001861993234754,0.0403977664804888,0.000119747600093,0.0449102634307102
3,0.0001855226693512,0.0403999099804561,0.0001200661541695,0.0449083389701479
4,0.0001871979876231,0.0404010745876927,0.0001210505844842,0.0449122474649224
5,0.0001863598437966,0.0404034292252446,0.0001194885447336,0.0449090055242402
6,0.0001861719444253,0.0403997052672558,0.0001195025920771,0.044905707104763
7,0.0001857237270869,0.0403979795345696,0.0001195941688117,0.0449113456341405
8,0.0001856372321578,0.0404020210756222,0.0001196027398922,0.0449112197270768
9,0.0001863360489666,0.0404014640089733,0.0001201761881276,0.0449119448257644
