Iteration,autoVec,fullVec,explicitVec,serial
0,0.0041050015037089,0.021188138473012,0.0211536715276853,0.0030687784032429
1,0.0041084635399312,0.021156305636691,0.0211297912215347,0.0030678630160803
2,0.0041052327726795,0.0211846570628145,0.0211396516307236,0.0030694155847162
3,0.0041049302643023,0.0211746687254453,0.0211457444406892,0.0030710839271489
4,0.0041083813416172,0.0211592224705279,0.0211439232657006,0.0030693231306195
5,0.0041058220942569,0.0211874667214105,0.0211534235749758,0.0030691942798657
6,0.0041067830924733,0.0211937266113986,0.0211451288249651,0.0030698313342027
7,0.0040875422968139,0.0211844952049701,0.0211524139122858,0.0030694464264592
8,0.0041057151856587,0.0211542223538844,0.0211395337102715,0.0030688900059291
9,0.0041047504694939,0.0211712543011733,0.0211531739585471,0.003070519061487
