Iteration,fullVec,autoVec,explicitVec,serial
0,0.0205917426118489,0.0244522452367078,0.0205834557083488,0.0244530691443928
1,0.0204741202517732,0.0244490388654687,0.0205490507350014,0.0244528528285473
2,0.0205548763393002,0.0243954843317986,0.0205923958466387,0.0244440910555021
3,0.0206174842365818,0.024450979750334,0.0205770841832421,0.024450620727548
4,0.0204954835391704,0.0244393932767911,0.0204940506159469,0.0244449699441735
5,0.0206062889958667,0.0244510242512417,0.0205855727920395,0.024452538252265
6,0.0205609663480016,0.0244515761628398,0.02056528341509,0.0244530788758055
7,0.0205937977064548,0.0244528801336188,0.0205962010147217,0.0244526602168234
8,0.020591358193717,0.024452846461621,0.0205514148867495,0.0244526139611357
9,0.0205522539869362,0.0244515752173285,0.020612268524623,0.0244523444479746
