Iteration,explicitVec,autoVec,serial,fullVec
0,0.0157445871980335,0.000723196490721,0.0007247065519312,0.0155278277230446
1,0.0155759522342782,0.0007467344384719,0.0007206630372457,0.0157365166534759
2,0.0158289429587904,0.0007327170979197,0.000731346007038,0.0156451090847014
3,0.0158030940491307,0.0007404751352586,0.0007346387395413,0.0158934654594666
4,0.0160950815792728,0.0007440512800699,0.0007406279887057,0.0158821007911574
5,0.0161858449728272,0.0007372195944557,0.0007374443074878,0.0160958717165062
6,0.0160277172701751,0.000750378802002,0.0007406474916997,0.0160058033568466
7,0.0161911077505768,0.0007476515737463,0.0007432992474844,0.0161526618737378
8,0.0161591476993345,0.0007539974042602,0.0007465606086357,0.0161132084991715
9,0.0163894703486423,0.0007514712583578,0.0007491914706438,0.0163607651598632
