Iteration,explicitVec,autoVec,fullVec,serial
0,0.0190916185404017,0.0218250545432331,0.0190978548134649,0.0218183871204813
1,0.0186552753390075,0.0218140934471745,0.0185464871674698,0.0218201296417217
2,0.019031202841252,0.0218242941686311,0.0190337138257471,0.0218141594199637
3,0.0186739214963801,0.0218227051995015,0.0191190231889249,0.021820991554448
4,0.0189866885207344,0.0217884046842455,0.018225391778211,0.0217867637895811
5,0.0190722159263827,0.0218140221010088,0.0190914269739387,0.0218241915927713
6,0.0186800935384858,0.0218222909973182,0.0190846270194854,0.0218253406227016
7,0.0190318851020737,0.0218112622930243,0.0190220452516574,0.0218240606229934
8,0.0187444802352697,0.0218232018358387,0.0184887160482688,0.0217867716719375
9,0.0190398921871416,0.021821883575715,0.0190653406163121,0.0218223007267836
