Iteration,Ratio fma,Ratio fmaScalar,Ratio indexInRange
0,0.2303791186858519,0.0233049342205681,0.2311177642970109
1,0.2294329739417295,0.0232965410096284,0.2293701500800805
2,0.2309117528290564,0.0233023779765259,0.2310911470933644
3,0.2308396847978592,0.0233020352873057,0.2306724850622205
4,0.2293123094658834,0.023298254187436,0.2292633779525485
5,0.2305803796028535,0.0233045963934943,0.2305503556922377
6,0.2312472665658846,0.0233068207095265,0.2311641966164262
7,0.2311412126189363,0.0233052656796498,0.2310863716208455
8,0.2312176649353859,0.0233062319051854,0.2311729150605506
9,0.2308099186220398,0.0232969600881104,0.2308198019326221
