Iteration,Ratio serial,Ratio explicitVec,Ratio fullVec,Ratio autoVec
0,0.0031677483531301,0.0862781472991516,0.0863521444661651,0.0042315895498415
1,0.003160734792279,0.0861521207947235,0.085990092121063,0.0042293991133147
2,0.003168364795502,0.0861617498497626,0.086351747605966,0.0042321259618577
3,0.0031662404819996,0.0861923964367464,0.086110478255605,0.0042295996346961
4,0.0031670962971447,0.0862890912022569,0.0860971198929444,0.0042346029074774
5,0.0031672762174737,0.0863027785921955,0.0865433446139887,0.0042299491964636
6,0.0031688279889458,0.0862899906219136,0.0863922724057752,0.0042312847321896
7,0.003168181125657,0.0862933427241813,0.0863691477524524,0.0042312099591654
8,0.0031654562915504,0.0862719021151375,0.0863984900999869,0.0042283022961718
9,0.0031670795334545,0.0861404198830072,0.0863484010170698,0.0042308867157068
