Iteration,Ratio fullVec,Ratio autoVec,Ratio explicitVec,Ratio serial
0,0.2183577398745815,0.0244523046983134,0.2188840841092413,0.0244514917489811
1,0.2170576121144355,0.0244480884684745,0.217896159062826,0.0244444758861566
2,0.2190142916392012,0.0244518383090064,0.2183021250146032,0.0244492194789112
3,0.2186930586875368,0.0244505953056983,0.2181567657063117,0.0244511307703604
4,0.2169711621795804,0.0244423520373132,0.2174115638621289,0.0244458010280428
5,0.2184563140767509,0.0244648316410091,0.2185095930100217,0.024452361231786
6,0.2188178995517411,0.0244499131366586,0.2188632067864036,0.0244514040014884
7,0.2190033788762091,0.0244516054188359,0.2183446149341019,0.0244523527509986
8,0.2189865208818381,0.0244520651000999,0.2183412029939125,0.0244523561678731
9,0.2189842054194697,0.0244491757381818,0.217899008826552,0.0244513551712856
