Iteration,Ratio autoVec,Ratio explicitVec,Ratio serial,Ratio fullVec
0,0.0216323797632328,0.1945945335072288,0.0215250370976175,0.1944172062878783
1,0.021609344145759,0.2093893895228853,0.0215027368837542,0.2093782212178651
2,0.0216317797143717,0.1930982013479769,0.0215213532117915,0.2071307135129982
3,0.0216285642555358,0.2096893724108897,0.0215229406541,0.1943803573941855
4,0.0216039553323174,0.2069304219172718,0.0215007848871807,0.2070107472836385
5,0.021623497337857,0.2113094309888578,0.0215288625380003,0.2112585686347654
6,0.0216275811570182,0.2105933994025336,0.0215268121438146,0.210712305213795
7,0.0216310675654586,0.2112998470860463,0.021532636162217,0.2113152927636009
8,0.0216317949889776,0.2105505327842944,0.0215295667919133,0.2111668653137273
9,0.0216282415194774,0.2089378060489513,0.021527925447164,0.2082376015045802
