Iteration,Ratio serial,Ratio explicitVec,Ratio fullVec,Ratio autoVec
0,0.0033927506960886,0.0372125871748242,0.0371462094293368,0.0045224958964142
1,0.0033834551282995,0.0372076983809389,0.0371355176073393,0.0045202617722018
2,0.0033971086534956,0.0372125490288018,0.0371464982317547,0.0045186646339591
3,0.0033964356850616,0.0372107371021411,0.0371409558047896,0.0045368032262656
4,0.003388173757144,0.037208660402215,0.0371408488448688,0.0045171007723906
5,0.0033926004316491,0.0372156481185592,0.0371461311297527,0.0045224333123836
6,0.0033990942554823,0.0372126908306717,0.0371496391659161,0.0045320281037444
7,0.0033761771720106,0.0372101344268584,0.0371480327342731,0.0045068249346955
8,0.0033958422875283,0.0372138750279473,0.0371475708024486,0.0045246383658203
9,0.0033819733781572,0.037207442880376,0.0371480751596767,0.0045129673046196
