Iteration,Ratio autoVec,Ratio explicitVec,Ratio serial,Ratio fullVec
0,0.0222007357033048,0.0964395471673699,0.0221999087784488,0.0951572352088239
1,0.0221947881379344,0.095054372923999,0.0221933117359976,0.0964097185049771
2,0.0221964156537201,0.0963812947006865,0.0221943456608337,0.0964041374577157
3,0.0221962114414522,0.0962854851619954,0.0221958255076926,0.0963204665014292
4,0.0221678385206292,0.0961813548951441,0.0221900863277235,0.0961059573566129
5,0.0220458762369309,0.0963849404050287,0.0221978878664951,0.0964414663827595
6,0.0221972041782342,0.0964088789023066,0.0221962877479042,0.0963837975132277
7,0.0221977695808645,0.0963483213335518,0.0221999159334015,0.0959150341544015
8,0.0221983434656156,0.096411988689075,0.0221997262402228,0.0963222155076303
9,0.0221980250963202,0.0961877516336229,0.0222121622306353,0.0954755332341516
