Iteration,Ratio explicitVec,Ratio autoVec,Ratio serial,Ratio fullVec
0,0.0005222298540405,0.000714635962558,0.0007192785265128,0.0006543659148322
1,0.0008246067978035,0.0007484623439631,0.0007241993348372,0.0004553859705298
2,0.0004898784963532,0.0007299638596273,0.0007294343915286,0.0004980866427408
3,0.0009060682467006,0.0007911592059059,0.0007368181039654,0.0006232499672412
4,0.0004436758389813,0.0007296505362003,0.0007447957594144,0.0004528292366482
5,0.0005044372249629,0.0007470465775563,0.0007435622306161,0.0005156970427464
6,0.0008938082476259,0.0007502141501835,0.0007468716974435,0.0005963597525971
7,0.0004562954843741,0.0007456465993216,0.0007500979678824,0.0004735273571543
8,0.0005298278519241,0.0007484591902369,0.00075453272409,0.0007020868594873
9,0.0008622563101467,0.0007552902881275,0.0007579740138045,0.0004255866046817
