benchmark,autoVec,explicitVec,fullVec
axpy,0.689655172413793,0.6724137931034483,0.6465517241379309
blackscholes,1.0096390484003281,0.23523379819524198,0.24446267432321572
canneal,1.0195364872629764,1.0013407393219689,0.964949243439954
jacobi2d,0.679416961130742,0.2643109540636042,0.2653710247349823
lavamd,0.9995252788986471,0.12342748635176835,0.12595933222565078
particlefilter,1.0025428194993413,0.5170750988142292,0.506258234519104
pathfinder,0.9912215834545931,0.18453758259583503,0.1857303022351566
somier,0.9805682946432792,0.08226561391896364,0.08614249917261596
streamcluster,0.7753583987016499,0.5335407086827156,0.4991209088450095
swaptions,1.0122606523878,0.6442897146749413,0.635586165140392
