benchmark,autoVec,explicitVec,fullVec
axpy,0.7804878048780488,0.7926829268292683,0.7804878048780488
blackscholes,1.0067611075338054,0.1677398583386993,0.17868641339343208
canneal,1.3142600359496703,0.8064709406830438,0.8028759736369083
jacobi2d,0.9545679012345679,0.4431275720164609,0.4465843621399177
lavamd,0.9941169941169941,0.11455211455211455,0.11455211455211455
particlefilter,0.9835667168151835,1.469158662191876,1.4082282143270455
pathfinder,0.9602953240360952,0.2262510254306809,0.22091878589007385
somier,0.9842260153031196,0.13713949381989407,0.13195997645673926
streamcluster,0.8302861685214626,0.3415474297827239,0.33730789613142553
swaptions,1.004253413924334,0.8625475710767855,0.8661293933288562
