benchmark,autoVec,explicitVec,fullVec
axpy,0.8484848484848485,0.8636363636363636,0.8484848484848485
blackscholes,0.9980224126565591,0.11931443638760712,0.11931443638760712
canneal,1.029928172386273,0.6863527533918596,0.6763766959297687
jacobi2d,1.0043132050431323,0.7979429329794293,0.8085600530856005
lavamd,1.0060574137476954,0.11509086120621542,0.11509086120621542
particlefilter,1.0067114093959733,1.1970278044103548,1.167066155321189
pathfinder,0.9892131979695431,0.31916243654822335,0.3251903553299492
somier,0.9780921953445915,0.2843450479233227,0.28206298493838433
streamcluster,0.9945716308708993,0.21784281331130517,0.21807882936039652
swaptions,1.0021629416005766,0.9560201874549388,0.9581831290555155
