fullVec,autoVec,serial,explicitVec,benchmark
0.0001421505224863,0.0001204882177861,7.092053618488607e-05,0.000160437860237,axpy
0.0188724431863492,0.0218167160028978,0.0218142991642124,0.0188990305754282,blackscholes
0.0159381498601797,0.0007426890521512,0.0007368048855789,0.0159971127796799,canneal
1.5078034942826885e-05,8.77006942490199e-06,4.4727586267677475e-06,1.2874070267796048e-05,jacobi2d
0.0205637545613339,0.0244446928770264,0.0244508833870052,0.0205706319328356,lavaMD
0.0449087682627712,0.0001862462133032,0.0001198751124926,0.0404001513526554,particlefilter
8.982455954106459e-05,5.762318061403651e-06,4.357863728979163e-06,8.654548276238805e-05,pathfinder
0.0002230118734579,2.868146857803304e-06,1.6807907784571205e-06,0.0002203753452223,somier
0.0041007906568175,0.0243395621083854,2.251034393578245e-05,0.0039516046710981,streamcluster
0.0211754071054547,0.0041042562416229,0.0030694344323963,0.0211456424472058,swaptions
