benchmark,autoVec,explicitVec,fullVec,serial
axpy,717885,738960,807110,404724.0
blackscholes,2360009093,330159872,329803944,2363412011.0
canneal,33873663,609538039,610354051,33987967.0
jacobi2d,1901279,1200604,1497218,1114618.0
lavaMD,8225252606,802085529,802067527,8224646492.0
particlefilter,106895851,31453768497,31453048009,69571005.0
pathfinder,1787355,11155658,11005989,2640944.0
somier,1814673,6591365,6903310,1437589.0
streamcluster,5712876424,389531486,389481219,9695816.0
swaptions,799097777,2336384736,2338273006,603146376.0
