benchmark,autoVec,explicitVec,fullVec
axpy,1.0,1.0092850510677809,1.0
blackscholes,1.0,243070.68150208626,243070.67408437646
canneal,1.0,147236.18153882519,147235.79257770948
jacobi2d,0.9981668194317141,1.007332722273144,0.9981668194317141
lavaMD,1.0,27779.704428904428,27778.15244755245
particlefilter,1.0,3.187042163317259,3.18704187624982
pathfinder,1.0,10.959383689311567,10.959383689311567
somier,1.0,0.9926940639269407,0.9926940639269407
streamcluster,0.9999999538838701,0.9999618850184915,0.9999616544378411
swaptions,1.000000066192973,2.644716377159383,2.64471526110574
